Individual,Sex,Population,Colour,Cpgmg,Tpgmg,Ppgmg
1,M,2,W,15.86,5.32,NA
2,F,1,D,20.02,3.71,14.37622
3,F,2,W,9.95,5.3,21.65902
4,F,1,D,25.22,3.71,13.42507
5,M,2,D,21.13,5.34,NA
6,M,2,W,12.48,4.6,NA
7,M,1,W,26.78,4.58,NA
8,M,1,D,15.41,9.27,NA
9,F,1,D,33.87,4.81,19.912695
10,F,2,W,17.29,5.07,34.59806
11,F,1,W,9.43,4.47,25.885475
12,F,1,W,8.84,3.75,15.86882
13,F,1,D,34,4.76,33.083615
14,F,1,D,14.3,6.06,24.828755
15,M,1,D,12.16,5.75,NA
16,M,1,D,22.43,6.15,NA
17,F,2,W,26.26,4.93,25.00037
18,M,2,W,15.8,5.24,NA
19,M,1,W,7.93,4.14,NA
20,M,1,D,4.75,3.34,NA
21,M,2,W,9.17,4.02,NA
22,M,2,W,21.52,4.91,NA
23,M,1,W,10.79,3.91,NA
24,F,2,W,22.69,6.47,21.500325
25,F,2,W,22.17,4.28,31.8274
26,F,2,W,15.34,5.53,34.0765
27,F,1,W,20.48,5.06,20.21606
28,F,1,W,16.19,4.79,18.29115
29,F,1,W,24.05,3.7,21.297345
30,M,2,W,16.45,6.09,NA
31,F,2,W,21.91,4.19,36.407965
32,F,2,W,32.24,6.94,40.927925
33,F,2,W,23.99,5.97,45.9136
34,F,2,W,27.82,7.76,47.267395
35,F,2,W,19.83,6.55,40.93838
36,F,2,W,12.16,4.34,26.65583
37,F,2,W,19.05,6.34,23.904125
38,F,2,D,13.91,4.72,26.36326
39,F,2,D,17.16,9.25,34.649655
40,F,1,W,30.16,6.8,19.61885
41,F,2,W,24.38,5.49,28.12497
42,F,2,D,10.14,3.81,NA
43,M,2,W,18.4,4.98,NA
44,M,2,W,15.21,7.17,NA
45,M,2,W,24.64,15.13,NA
46,M,2,W,22.49,14.45,NA
47,M,2,W,17.42,5.36,NA
48,M,2,W,29.51,9.12,NA
49,M,2,W,27.3,10.75,NA
50,M,2,W,14.04,7.19,NA
51,M,2,W,11.77,5.17,NA
52,M,2,W,23.6,6.97,NA
53,M,2,W,18.14,5.7,NA
54,M,2,W,11.25,4.4,NA
55,F,1,W,14.82,10.81,NA
56,F,2,W,26.39,6.47,24.46521
57,M,2,W,15.15,4.52,NA
58,M,2,W,14.04,6.01,NA
59,M,2,W,21.39,7.36,NA
60,F,2,W,20.02,5.19,31.409285
61,M,2,W,24.64,14.08,NA
62,M,2,W,13.46,4.09,NA
63,M,2,W,18.79,9.74,NA
64,F,2,W,11.77,4.95,21.01472
65,F,2,W,19.96,7.62,28.06955
66,F,2,W,12.68,3.82,27.907965
67,F,2,W,19.76,5.26,27.37918
68,M,2,D,20.35,14.98,NA
69,F,2,W,17.68,5.97,53.28191
70,F,2,W,23.66,6.13,48.53432
71,F,2,W,17.23,7.24,NA
72,F,2,W,25.74,4.88,37.656955
73,F,2,W,19.89,6.35,31.904665
74,F,1,D,14.24,3.95,28.87637
75,M,2,W,17.55,5.02,NA
76,M,2,W,16.32,5.86,NA
77,M,2,W,15.34,5.78,NA
78,F,2,W,11.64,4.87,22.873925
79,M,2,W,13.65,5.04,NA
80,M,2,W,11.57,5.24,NA
81,M,2,W,20.35,5.98,NA
82,M,2,W,8.91,4.58,NA
83,M,2,W,9.1,4.4,NA
84,M,2,D,21.65,7.81,NA
85,M,1,D,10.6,3.65,NA
86,M,1,D,12.35,9.57,NA
87,F,1,D,7.93,3.83,16.77475
88,F,1,D,8,4.26,19.498915
